dist_road,dist_market,dist_border,dist_popcenter,dist_admhq,age,sex,denomination,total_cons_ann,nom_totcons_aeq,walls_material,roof_material,floor_material
7.7,162.3,82.9,0.4,0.0,65+,Female,urban,226020.0,144884.625,Plastered hallow blocks,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Female,urban,226020.0,144884.625,Plastered hallow blocks,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Female,urban,226020.0,144884.625,Plastered hallow blocks,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Female,urban,248090.0,62967.00390625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Female,urban,248090.0,62967.00390625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Female,urban,248090.0,62967.00390625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Female,urban,248090.0,62967.00390625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Female,urban,248090.0,62967.00390625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Male,urban,248090.0,62967.00390625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,51-65,Male,urban,151160.0,40634.41015625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Female,urban,151160.0,40634.41015625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Male,urban,151160.0,40634.41015625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Female,urban,151160.0,40634.41015625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Male,urban,193256.0,74329.234375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Female,urban,193256.0,74329.234375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Female,urban,193256.0,74329.234375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,51-65,Male,urban,163924.0,44787.98046875,Wood and mud,Wood and mud,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Female,urban,163924.0,44787.98046875,Wood and mud,Wood and mud,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Male,urban,163924.0,44787.98046875,Wood and mud,Wood and mud,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Female,urban,163924.0,44787.98046875,Wood and mud,Wood and mud,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Male,urban,140280.0,27833.333984375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Female,urban,140280.0,27833.333984375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Male,urban,140280.0,27833.333984375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Male,urban,140280.0,27833.333984375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Male,urban,140280.0,27833.333984375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,51-65,Male,urban,227500.0,52178.90234375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,51-65,Female,urban,227500.0,52178.90234375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Male,urban,227500.0,52178.90234375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Female,urban,227500.0,52178.90234375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Male,urban,227500.0,52178.90234375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Male,urban,227500.0,52178.90234375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Male,urban,157102.0,40911.98046875,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Female,urban,157102.0,40911.98046875,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Male,urban,157102.0,40911.98046875,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Male,urban,157102.0,40911.98046875,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Female,urban,98500.0,50255.1015625,Wood and mud,Wood and mud,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Male,urban,98500.0,50255.1015625,Wood and mud,Wood and mud,Plastic tiles
7.7,162.3,82.9,0.4,0.0,65+,Male,urban,50442.0,60050.0,Wood and mud,Wood and mud,Mud
7.7,162.3,82.9,0.4,0.0,31-50,Male,urban,162580.0,34591.4921875,Wood and mud,Corrugated iron sheet,Cement screed/Cement screed not applied
